Country,2012 Seats in National Parliament (% female),2010 Maternal Mortality Ratio,Adolescent Fertility Rate,2006-2010 Population with at least secondary education (Female),2006-2010 Population with at least secondary education (Male),2011 Labour force participation rate (Female),2011 Labour force participation rate (Male),2010GII,2012GII,2013 Global Hunger Index (IFPRI),2011 Under-five Mortality rate  (IFPRI),2010-2012 Prevalence of undernourishment in the population  (IFPRI),2008-2012 Prevalence of underweight in children under five years  (IFPRI),MeanStuntingF,MeanStuntingM
Albania,15.7,27,14.9,78.8,85,49.6,71.3,0.261,0.251,5.2,1.4,7.8,6.3,28.43333333,30.93333333
Armenia,10.7,30,33.2,94.1,94.8,49.4,70.2,0.355,0.34,5,1.8,3,5.3,18.1,19.56666667
Azerbaijan,16,43,31.4,90,95.7,61.6,68.5,,0.323,5,4.5,1.5,3.3,24.35,26.45
Belarus,29.7,4,20.5,,,50.2,62.6,,,5,0.6,0.4,0.9,4.2,4.7
Benin,8.4,350,97,11.2,25.6,67.4,78.2,0.614,0.618,13.3,10.6,8.1,21.2,39.5,44.4
Bhutan,13.9,180,44.9,34,34.5,65.8,76.5,,0.464,,5.4,,12.8,32.75,35.65
Botswana,7.9,160,43.8,73.6,77.5,71.7,81.6,0.497,0.485,13.9,2.6,27.9,11.2,27.65,32.8
Brazil,9.6,56,76,50.5,48.5,59.6,80.9,0.446,0.447,5,1.6,6.9,3,5.8,8.3
Burkina Faso,15.3,300,117.4,0.9,3.2,77.5,90.4,,0.609,22.2,14.6,25.9,26.2,36.275,41.45
Burundi,34.9,800,20.9,5.2,9.2,83.7,82.1,0.466,0.476,38.8,13.9,73.4,29.1,56.95,63.6
Cambodia,18.1,250,32.9,11.6,20.6,79.2,86.7,0.486,0.473,16.8,4.3,17.1,29,41.85,44.85
Cameroon,13.9,690,115.1,21.1,34.9,64.2,77.4,0.634,0.628,14.5,12.7,15.7,15.1,32.56666667,37.1
Chad,12.8,1100,138.1,,,64.4,80.2,,,26.9,16.9,33.4,30.3,40.8,43.3
Chile,13.9,25,56,72.1,75.9,47.1,74.2,0.363,0.36,5,0.9,3.7,0.5,1.8,2.2
China,21.3,37,9.1,54.8,70.4,67.7,80.1,0.207,0.213,5.5,1.5,11.5,3.4,13.68333333,15.23333333
Colombia,13.6,92,68.1,43.8,42.4,55.8,79.7,0.466,0.459,5.9,1.8,12.6,3.4,14.46666667,16.83333333
Comoros,3,280,51.1,,,35.1,80.4,,,33.6,7.9,70,22.8,47.3,46.5
Costa Rica,38.6,40,61.9,54.4,52.8,46.4,78.9,0.351,0.346,5,1,6.5,1.1,6.6,4.8
Djibouti,13.8,200,19.5,,,36,67.2,,,19.5,9,19.8,29.8,29.63333333,32.03333333
Dominican Republic,19.1,150,103.6,43.3,41.7,51,78.6,0.506,0.508,7,2.5,15.4,3.1,8.5,11.26666667
Ecuador,32.3,110,80.6,36.6,36.6,54.3,82.7,0.446,0.442,8.5,2.3,18.3,5,27.3,30.5
El Salvador,26.2,81,76.2,34.8,40.8,47.4,78.6,0.466,0.441,6.8,1.5,12.3,6.6,21.65,23.45
Eritrea,22,240,53.7,,,79.8,90,,,35,6.8,65.4,32.8,41.8,45.4
Ethiopia,25.5,350,48.3,,,78.4,89.8,,,25.7,7.7,40.2,29.2,49.26666667,52.26666667
Fiji,,26,42.8,57.5,58.1,39.3,79.5,,,5,1.6,3.8,5.8,6.9,8
Haiti,4,350,41.3,22.5,36.3,60.1,70.6,0.596,0.592,23.3,7,44.5,18.4,26.1,32.05
Honduras,19.5,100,85.9,20.7,18.8,42.3,82.8,0.504,0.483,7.9,2.1,9.6,12.1,30.45,33.85
India,10.9,200,74.7,26.6,50.4,29,80.7,0.619,0.61,21.3,6.1,17.5,40.2,48,47.9
Indonesia,18.2,220,42.3,36.2,46.8,51.2,84.2,0.499,0.494,10.1,3.2,8.6,18.6,36.96,39.76
